,0,1,2,3,4,5
153,360.0,360.0,360.0,360.0,360.0,360.0
154,360.0,360.0,360.0,360.0,360.0,360.0
155,360.0,360.0,360.0,360.0,360.0,360.0
156,360.0,360.0,360.0,360.0,360.0,360.0
157,360.0,360.0,360.0,360.0,360.0,360.0
158,360.0,360.0,360.0,360.0,360.0,360.0
159,360.0,360.0,360.0,360.0,360.0,360.0
160,360.0,360.0,360.0,360.0,360.0,360.0
161,360.0,360.0,360.0,360.0,360.0,360.0
162,360.0,360.0,360.0,360.0,360.0,360.0
163,360.0,360.0,360.0,360.0,360.0,360.0
164,360.0,360.0,360.0,360.0,360.0,360.0
165,360.0,360.0,360.0,360.0,360.0,360.0
166,360.0,360.0,360.0,360.0,360.0,360.0
167,360.0,360.0,360.0,360.0,360.0,360.0
168,360.0,360.0,360.0,360.0,360.0,360.0
169,360.0,360.0,360.0,360.0,360.0,360.0
170,360.0,360.0,360.0,360.0,360.0,360.0
171,360.0,360.0,360.0,360.0,360.0,360.0
172,360.0,360.0,360.0,360.0,360.0,360.0
173,360.0,360.0,360.0,360.0,360.0,360.0
174,360.0,360.0,360.0,360.0,360.0,360.0
175,360.0,360.0,360.0,360.0,360.0,360.0
176,360.0,360.0,360.0,360.0,360.0,360.0
177,360.0,360.0,360.0,360.0,360.0,360.0
178,360.0,360.0,360.0,360.0,360.0,360.0
179,360.0,360.0,360.0,360.0,360.0,360.0
180,360.0,360.0,360.0,360.0,360.0,360.0
181,360.0,360.0,360.0,360.0,360.0,360.0
182,360.0,360.0,360.0,360.0,360.0,360.0
183,360.0,360.0,360.0,360.0,360.0,360.0
184,360.0,360.0,360.0,360.0,360.0,360.0
185,360.0,360.0,360.0,360.0,360.0,360.0
186,360.0,360.0,360.0,360.0,360.0,360.0
187,360.0,360.0,360.0,360.0,360.0,360.0
188,360.0,360.0,360.0,360.0,360.0,360.0
189,360.0,360.0,360.0,360.0,360.0,360.0
190,360.0,360.0,360.0,360.0,360.0,360.0
191,360.0,360.0,360.0,360.0,360.0,360.0
192,360.0,360.0,360.0,360.0,360.0,360.0
193,360.0,360.0,360.0,360.0,360.0,360.0
194,360.0,360.0,360.0,360.0,360.0,360.0
195,360.0,360.0,360.0,360.0,360.0,360.0
196,360.0,360.0,360.0,360.0,360.0,360.0
197,360.0,360.0,360.0,360.0,360.0,360.0
198,360.0,360.0,360.0,360.0,360.0,360.0
199,360.0,360.0,360.0,360.0,360.0,360.0
200,360.0,360.0,360.0,360.0,360.0,360.0
201,360.0,360.0,360.0,360.0,360.0,360.0
202,360.0,360.0,360.0,360.0,360.0,360.0
203,360.0,360.0,360.0,360.0,360.0,360.0
204,360.0,360.0,360.0,360.0,360.0,360.0
205,360.0,360.0,360.0,360.0,360.0,360.0
206,360.0,360.0,360.0,360.0,360.0,360.0
207,360.0,360.0,360.0,360.0,360.0,360.0
208,360.0,360.0,360.0,360.0,360.0,360.0
209,360.0,360.0,360.0,360.0,360.0,360.0
210,360.0,360.0,360.0,360.0,360.0,360.0
211,360.0,360.0,360.0,360.0,360.0,360.0
212,360.0,360.0,360.0,360.0,360.0,360.0
213,360.0,360.0,360.0,360.0,360.0,360.0
214,360.0,360.0,360.0,360.0,360.0,360.0
215,360.0,360.0,360.0,360.0,360.0,360.0
216,360.0,360.0,360.0,360.0,360.0,360.0
217,360.0,360.0,360.0,360.0,360.0,360.0
218,360.0,360.0,360.0,360.0,360.0,360.0
219,360.0,360.0,360.0,360.0,360.0,360.0
220,360.0,360.0,360.0,360.0,360.0,360.0
221,360.0,360.0,360.0,360.0,360.0,360.0
222,360.0,360.0,360.0,360.0,360.0,360.0
223,360.0,360.0,360.0,360.0,360.0,360.0
224,360.0,360.0,360.0,360.0,360.0,360.0
225,360.0,360.0,360.0,360.0,360.0,360.0
226,360.0,360.0,360.0,360.0,360.0,360.0
227,360.0,360.0,360.0,360.0,360.0,360.0
228,360.0,360.0,360.0,360.0,360.0,360.0
229,360.0,360.0,360.0,360.0,360.0,360.0
230,360.0,360.0,360.0,360.0,360.0,360.0
231,360.0,360.0,360.0,360.0,360.0,360.0
232,360.0,360.0,360.0,360.0,360.0,360.0
233,360.0,360.0,360.0,360.0,360.0,360.0
234,360.0,360.0,360.0,360.0,360.0,360.0
235,360.0,360.0,360.0,360.0,360.0,360.0
236,360.0,360.0,360.0,360.0,360.0,360.0
237,360.0,360.0,360.0,360.0,360.0,360.0
238,360.0,360.0,360.0,360.0,360.0,360.0
239,360.0,360.0,360.0,360.0,360.0,360.0
240,360.0,360.0,360.0,360.0,360.0,360.0
241,360.0,360.0,360.0,360.0,360.0,360.0
242,360.0,360.0,360.0,360.0,360.0,360.0
243,360.0,360.0,360.0,360.0,360.0,360.0
244,360.0,360.0,360.0,360.0,360.0,360.0
245,360.0,360.0,360.0,360.0,360.0,360.0
246,360.0,360.0,360.0,360.0,360.0,360.0
247,360.0,360.0,360.0,360.0,360.0,360.0
248,360.0,360.0,360.0,360.0,360.0,360.0
249,360.0,360.0,360.0,360.0,360.0,360.0
250,360.0,360.0,360.0,360.0,360.0,360.0
251,360.0,360.0,360.0,360.0,360.0,360.0
252,360.0,360.0,360.0,360.0,360.0,360.0
253,360.0,360.0,360.0,360.0,360.0,360.0
254,360.0,360.0,360.0,360.0,360.0,360.0
255,360.0,360.0,360.0,360.0,360.0,360.0
256,360.0,360.0,360.0,360.0,360.0,360.0
257,360.0,360.0,360.0,360.0,360.0,360.0
258,360.0,360.0,360.0,360.0,360.0,360.0
259,360.0,360.0,360.0,360.0,360.0,360.0
260,360.0,360.0,360.0,360.0,360.0,360.0
261,360.0,360.0,360.0,360.0,360.0,360.0
262,360.0,360.0,360.0,360.0,360.0,360.0
263,360.0,360.0,360.0,360.0,360.0,360.0
264,360.0,360.0,360.0,360.0,360.0,360.0
265,360.0,360.0,360.0,360.0,360.0,360.0
266,360.0,360.0,360.0,360.0,360.0,360.0
267,360.0,360.0,360.0,360.0,360.0,360.0
268,360.0,360.0,360.0,360.0,360.0,360.0
269,360.0,360.0,360.0,360.0,360.0,360.0
270,360.0,360.0,360.0,360.0,360.0,360.0
271,360.0,360.0,360.0,360.0,360.0,360.0
272,360.0,360.0,360.0,360.0,360.0,360.0
273,360.0,360.0,360.0,360.0,360.0,360.0
274,360.0,360.0,360.0,360.0,360.0,360.0
275,360.0,360.0,360.0,360.0,360.0,360.0
276,360.0,360.0,360.0,360.0,360.0,360.0
277,360.0,360.0,360.0,360.0,360.0,360.0
278,360.0,360.0,360.0,360.0,360.0,360.0
279,360.0,360.0,360.0,360.0,360.0,360.0
280,360.0,360.0,360.0,360.0,360.0,360.0
281,360.0,360.0,360.0,360.0,360.0,360.0
282,360.0,360.0,360.0,360.0,360.0,360.0
283,360.0,360.0,360.0,360.0,360.0,360.0
284,360.0,360.0,360.0,360.0,360.0,360.0
285,360.0,360.0,360.0,360.0,360.0,360.0
286,360.0,360.0,360.0,360.0,360.0,360.0
287,360.0,360.0,360.0,360.0,360.0,360.0
288,360.0,360.0,360.0,360.0,360.0,360.0
289,360.0,360.0,360.0,360.0,360.0,360.0
290,360.0,360.0,360.0,360.0,360.0,360.0
